Name,Dease_URL,Dease_image
Roseola images,https://dermnetnz.org/topics/roseola-images/?stage=Live,https://dermnetnz.org/assets/Uploads/roseola-001__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Dermatomyositis images,https://dermnetnz.org/topics/dermatomyositis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/dermatomyositis-eyelids-4__FocusFillWzE1MCwxMTAsIngiLDhd.jpg
Actinic keratosis affecting the face images,https://dermnetnz.org/topics/actinic-keratosis-face-images/?stage=Live,https://dermnetnz.org/assets/Uploads/248__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Actinic keratosis affecting the face images,https://dermnetnz.org/topics/actinic-keratosis-face-images/?stage=Live,https://dermnetnz.org/assets/Uploads/248__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Actinic keratosis affecting the hand images,https://dermnetnz.org/topics/actinic-keratosis-affecting-the-hand-images/?stage=Live,https://dermnetnz.org/assets/Uploads/393__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Actinic keratosis affecting the legs and feet images,https://dermnetnz.org/topics/actinic-keratosis-leg-and-foot-images/?stage=Live,https://dermnetnz.org/assets/Uploads/478__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Actinic keratosis affecting the scalp images,https://dermnetnz.org/topics/actinic-keratosis-scalp-images/?stage=Live,https://dermnetnz.org/assets/Uploads/418__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Actinic keratosis on the nose images,https://dermnetnz.org/topics/actinic-keratosis-on-the-nose-images/?stage=Live,https://dermnetnz.org/assets/Uploads/sks-nose3-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Actinic keratosis treated with imiquimod images,https://dermnetnz.org/topics/actinic-keratosis-imiquimod-images/?stage=Live,https://dermnetnz.org/assets/Uploads/3723__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Alopecia areata images,https://dermnetnz.org/images/alopecia-areata-images/?stage=Live,https://dermnetnz.org/assets/Uploads/1323__FocusFillWzE1MCwxMTAsInkiLDIzXQ.jpg
Amelanotic melanoma images,https://dermnetnz.org/images/amelanotic-melanoma-images/?stage=Live,https://dermnetnz.org/assets/Uploads/12a-amelanotic-melanoma__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Tuberous sclerosis images,https://dermnetnz.org/topics/tuberous-sclerosis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/angiofibromas-19-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Angular cheilitis images,https://dermnetnz.org/images/angular-cheilitis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/perleche13-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Atopic dermatitis images,https://dermnetnz.org/images/atopic-dermatitis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/atopic26-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Atopic dermatitis images,https://dermnetnz.org/images/atopic-dermatitis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/atopic26-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Atypical melanocytic naevus images,https://dermnetnz.org/topics/atypical-naevus-images/?stage=Live,https://dermnetnz.org/assets/Uploads/604__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Bacterial skin infection images,https://dermnetnz.org/image-catalogue/bacterial-skin-infection-images/?stage=Live,https://dermnetnz.org/assets/Uploads/syph6-s-2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Balanitis images,https://dermnetnz.org/topics/balanitis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/balanitis4-s-1__FocusFillWzE1MCwxMTAsInkiLDIzXQ.jpg
Basal cell carcinoma affecting the ear images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-ear-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0692__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Basal cell carcinoma affecting the ear images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-ear-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0692__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Basal cell carcinoma affecting the ear images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-ear-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0692__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Basal cell carcinoma affecting the ear images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-ear-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0692__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Basal cell carcinoma affecting the eyelid images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-eyelid-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0633__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Basal cell carcinoma affecting the eyelid images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-eyelid-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0633__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Basal cell carcinoma affecting the eyelid images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-eyelid-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0633__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Basal cell carcinoma affecting the eyelid images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-eyelid-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0633__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Basal cell carcinoma affecting the face images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-face-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0616__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Basal cell carcinoma affecting the face images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-face-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0616__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Basal cell carcinoma affecting the face images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-face-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0616__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Basal cell carcinoma affecting the face images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-face-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0616__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Basal cell carcinoma affecting the nose images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-nose-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0629__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
