Name,product_link,image,off,color,Details,Care_For_Me,Delivery
Strawberry Shortcake Sleep Tee,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/strawberry-shortcake-sleep-tee-813796-multi-1,,or 4 payments of$with,Multi,Oh muffin crumbs! This Strawberry Shortcake side split sleep tee is sure to become your new PJ favourite. Be sure to have a smell of our Scratch N Sniff swing tag for a berry sweet scent.Round necklineShort sleevesOversized fitSide splitScratch &amp;amp; Sniff feature on swing tag/Model is usually a size 8 and wears a small./,"ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptly&amp;nbsp;Do not tumble dryDry flat in shade easing back into shapeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Hen Jumpsuit,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/hen-jumpsuit-816314-multi-1,,or 4 payments of$with,Multi,"Calling all mother hens and baby chicks, this garden themed jumpsuit is perfect for you! Featuring a front and 2 side pockets to pop in all your fresh produce by day, and indulgent snacks by night!&amp;nbsp;Regular fitWide strapsStraight necklineFront pocketFull length flowy pantsSide pockets/Model is usually a size 8 and wears a small./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shade easing back into shapeWarm iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Butterfly Frill Sleeve Nightshirt,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/butterfly-frill-sleeve-nightshirt-816587-multi-1,,or 4 payments of$with,Multi,"Fly away in your dreams with this stunning frill sleeve nightshirt. Loose, comfy and lightweight for the warmer months.&amp;nbsp;Collar &amp;amp; button down frontFrill sleevesKnee lengthLoose fitSide pockets/Model is usually a size 8 and wears a small./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shade easing back into shapeWarm iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Strawberries & Cream Nightshirt,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/strawberry-nightshirt-816589-multi-1,,or 4 payments of$with,Multi,"Our PJs are the berry best, and this printed nightshirt is no exception! Featuring cap sleeves and made from cotton sateen for ultimate comfort during the warmer months.&amp;nbsp;Collar &amp;amp; button down frontShort cap sleevesTop patch pocketCurved hemLoose fit/Model is usually a size 8 and wears a small./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Veggie Patch Nightie,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/veggie-patch-nightie-816591-multi-1,,or 4 payments of$with,Multi,"You'll be looking fresh and delicious in this juicy full length nightie, featuring an all over Veggie Patch print! Featuring adjustable spaghetti straps and in a loose fit for comfort and convenience.&amp;nbsp;&amp;nbsp;Adjustable spaghetti strapsFrill detail on necklineFull length/Model is usually a size 8 and wears a small./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shade easing back into shapeWarm iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Floral Lace Hanky Hem,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/floral-lace-hanky-hem-816595-multi-1,,or 4 payments of$with,Multi,"This stunning hanky hem nightie is sure to be your pick of the bunch! Comfy, flowy and perfect for a good night(ie) sleep!Round neckContrast block colour neck and sleevesFront pocketsHanky style hemLoose fit/Model is usually a size 8 and wears a small./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptly&amp;nbsp;Do not tumble dryDry flat in shade easing back into shapeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Summer Buffalo Check Gown,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/summer-buffalo-check-gown-816597-blue-1,,or 4 payments of$with,Blue,You'll be wrapped with this lightweight summer gown in a blue gingham print. Perfect for pairing with your favourite Peter Alexander jammies!Relaxed fitLong sleevesSelf fabric waist tieFashion style/Model is usually a size 8 and wears a small./,"ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptly&amp;nbsp;Do not tumble dryLine dry in shade easing back into shapeWarm iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Pointelle Frill Short,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/pointelle-frill-short-816893-multi-1,,or 4 payments of$with,Multi,"You're sure to love these adorable mini frill shorts, covered in a heart print and made from delicate pointelle fabric. The details make this one sweet enough to add a little something special to every night.&amp;nbsp;Elastic waistbandBow detailMini lengthFrill hemBroderie trim detail/Model is usually a size 8 and wears a small./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Berries Short Sleeve 3/4 Pj Set,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/berries-short-sleeve-3-4-pj-set-817195-multi-1,,or 4 payments of$with,Multi,"We're sure you'll love this fashion set berry much! Featuring an all over garden inspired print, this set featured a puff sleeve shirt and matching cropped pant for a comfy yet cute look.Round necklineButton up shirtPenny logo embroidery3/4 length puff sleevesMatching 3/4 PJ pantsElasticised waistbandComes in matching fabric bag/Model is usually a size 8 and wears a small./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Strawberries & Cream Shortie Pj Set,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/strawberry-short-sleeve-shortie-pj-set-817196-multi-1,,or 4 payments of$with,Multi,"Our PJs are the berry best, and this PJ set is no exception! Featuring a short sleeve shirt and matching mid length shorts to add some sweetness to every night.&amp;nbsp;Collar &amp;amp; button down frontTop patch pocketShort sleevesMatching PJ shortElastic waistbandDrawstringComes in matching bag/Model is usually a size 8 and wears a small./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Textured Short Sleeve Shirt,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/textured-short-sleeve-shirt-817197-multi-1,,or 4 payments of$with,Multi,"Got a green thumb? Match it with this textured green shirt from our Veggie Patch collection, featuring two top patch pockets and white piping.&amp;nbsp;Collar &amp;amp; button down frontTop patch pocketsWhite piping detailPenny logo embroidery/Model is usually a size 8 and wears a small./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptly&amp;nbsp;Do not tumble dryLine dry in shade easing back into shapeWarm iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Textured 3/4 Pj Pant,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/textured-3-4-pj-pant-817198-multi-1,,or 4 payments of$with,Multi,"Got a green thumb? Match it with this textured 3/4 PJ pant from our Veggie Patch collection, featuring white piping and our signature penny logo embroidery.&amp;nbsp;Elastic waistbandDrawstring3/4 leg lengthWhite piping detailPenny logo embroidery/Model is usually a size 8 and wears a small./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptly&amp;nbsp;Do not tumble dryLine dry in shade easing back into shapeWarm iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Patchwork Lace Trim Cami Top,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/patchwork-lace-trim-cami-top,,or 4 payments of$with,Multi,"Look pretty in patchwork with this bright coloured PJ top! Featuring broderie lace trim on a button down, flowy fashion cami style, this one will add a pop of fun to every night.&amp;nbsp;Wide broderie detail strapsStraight necklineButton down detailBroderie lace trim/Model is usually a size 8 and wears a small./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
